ac_id,us_id,epic_id,squad,requirement_statement,objective,preconditions,verification_procedure,expected_result,edge_cases,suggested_tc_primary,suggested_tc_negative,automation_hints,architecture_refs
AC-DG-01-004-01,US-DG-01-004,EPIC-DG-01,platform-runtime,"When `graph_interrupt_before_athena` / `GRAPH_INTERRUPT_BEFORE_ATHENA` enabled, graph enters `AWAITING_REVIEW` and awaits `resume` with annotations (Architecture §4.7, §28.5).","Verify the behaviour described in AC-DG-01-004-01: When `graph_interrupt_before_athena` / `GRAPH_INTERRUPT_BEFORE_ATHENA` enabled, graph enters `AWAITING_REVIEW` and awaits `resume` with annotations (Architecture §4.7, §28.5).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-004-01,TC-DG-01-004-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-004-01"") or Xray/TestRail key == ac_id","Architecture §4.7, §28.5"
AC-DG-01-004-02,US-DG-01-004,EPIC-DG-01,platform-runtime,Resume clears interrupt only for authorised roles (`admin` or configured reviewer).,Verify the behaviour described in AC-DG-01-004-02: Resume clears interrupt only for authorised roles (`admin` or configured reviewer).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-004-02,TC-DG-01-004-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-004-02"") or Xray/TestRail key == ac_id",Architecture_Design.md (see product spec)
AC-DG-01-004-03,US-DG-01-004,EPIC-DG-01,platform-runtime,Audit log records who resumed and timestamp (stored alongside scan metadata).,Verify the behaviour described in AC-DG-01-004-03: Audit log records who resumed and timestamp (stored alongside scan metadata).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-004-03,TC-DG-01-004-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-004-03"") or Xray/TestRail key == ac_id",Architecture_Design.md (see product spec)
AC-DG-01-005-01,US-DG-01-005,EPIC-DG-01,platform-runtime,Worker renews `scan:{scan_id}:heartbeat` every ≤30s with TTL ≥120s (Architecture §30.3).,Verify the behaviour described in AC-DG-01-005-01: Worker renews `scan:{scan_id}:heartbeat` every ≤30s with TTL ≥120s (Architecture §30.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-005-01,TC-DG-01-005-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-005-01"") or Xray/TestRail key == ac_id",Architecture §30.3
AC-DG-01-005-02,US-DG-01-005,EPIC-DG-01,platform-runtime,Watchdog marks `FAILED` with `error_code=WORKER_LOST` when heartbeat missing for a non-terminal scan (Architecture §30.3).,Verify the behaviour described in AC-DG-01-005-02: Watchdog marks `FAILED` with `error_code=WORKER_LOST` when heartbeat missing for a non-terminal scan (Architecture §30.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-005-02,TC-DG-01-005-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-005-02"") or Xray/TestRail key == ac_id",Architecture §30.3
AC-DG-01-006-01,US-DG-01-006,EPIC-DG-01,platform-runtime,Worker verifies `scans.status == QUEUED` (or equivalent) before transitioning to in-flight processing (Architecture §30.2).,Verify the behaviour described in AC-DG-01-006-01: Worker verifies `scans.status == QUEUED` (or equivalent) before transitioning to in-flight processing (Architecture §30.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-006-01,TC-DG-01-006-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-006-01"") or Xray/TestRail key == ac_id",Architecture §30.2
AC-DG-01-006-02,US-DG-01-006,EPIC-DG-01,platform-runtime,Visibility timeout / pending entry stale after configurable duration (e.g. 15m) is reclaimable via `XCLAIM` pattern (Architecture §30.2).,Verify the behaviour described in AC-DG-01-006-02: Visibility timeout / pending entry stale after configurable duration (e.g. 15m) is reclaimable via `XCLAIM` pattern (Architecture §30.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-006-02,TC-DG-01-006-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-006-02"") or Xray/TestRail key == ac_id",Architecture §30.2
AC-DG-01-006-03,US-DG-01-006,EPIC-DG-01,platform-runtime,Duplicate delivery does not create duplicate `scan_id` rows or fork graph state when idempotency keys are in use (align with EPIC-DG-02).,Verify the behaviour described in AC-DG-01-006-03: Duplicate delivery does not create duplicate `scan_id` rows or fork graph state when idempotency keys are in use (align with EPIC-DG-02).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-006-03,TC-DG-01-006-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-006-03"") or Xray/TestRail key == ac_id",Architecture_Design.md (see product spec)
AC-DG-01-006-04,US-DG-01-006,EPIC-DG-01,platform-runtime,Optional Kafka deployment uses same `ScanJobMessage` schema version `schema_ver` (Architecture §30.1–30.2).,Verify the behaviour described in AC-DG-01-006-04: Optional Kafka deployment uses same `ScanJobMessage` schema version `schema_ver` (Architecture §30.1–30.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-006-04,TC-DG-01-006-04.2,"pytest marker @pytest.mark.req(""AC-DG-01-006-04"") or Xray/TestRail key == ac_id",Architecture §30.1–30.2
AC-DG-01-007-01,US-DG-01-007,EPIC-DG-01,platform-runtime,"When `should_abort=true`, conditional edges route to `error_handler` which sets terminal `FAILED` and stable `error_code` (Architecture §4.4, §31.4).","Verify the behaviour described in AC-DG-01-007-01: When `should_abort=true`, conditional edges route to `error_handler` which sets terminal `FAILED` and stable `error_code` (Architecture §4.4, §31.4).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-007-01,TC-DG-01-007-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-007-01"") or Xray/TestRail key == ac_id","Architecture §4.4, §31.4"
AC-DG-01-007-02,US-DG-01-007,EPIC-DG-01,platform-runtime,"`error_message` is sanitised (no stack traces, no secret material) in API and DB (Architecture §28.5).","Verify the behaviour described in AC-DG-01-007-02: `error_message` is sanitised (no stack traces, no secret material) in API and DB (Architecture §28.5).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-007-02,TC-DG-01-007-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-007-02"") or Xray/TestRail key == ac_id",Architecture §28.5
AC-DG-01-007-03,US-DG-01-007,EPIC-DG-01,platform-runtime,Non-fatal `ToolExecutionError` does not invoke `error_handler`; partial outputs remain (Architecture §31.4).,Verify the behaviour described in AC-DG-01-007-03: Non-fatal `ToolExecutionError` does not invoke `error_handler`; partial outputs remain (Architecture §31.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-007-03,TC-DG-01-007-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-007-03"") or Xray/TestRail key == ac_id",Architecture §31.4
AC-DG-01-008-01,US-DG-01-008,EPIC-DG-01,platform-runtime,"When `max_wall_seconds` exceeded, cooperative abort triggers `CANCELLED` or `FAILED` with `error_code` documented for timeout (Architecture §28.4, §19.1 `ScanAbortError`).","Verify the behaviour described in AC-DG-01-008-01: When `max_wall_seconds` exceeded, cooperative abort triggers `CANCELLED` or `FAILED` with `error_code` documented for timeout (Architecture §28.4, §19.1 `ScanAbortError`).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-008-01,TC-DG-01-008-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-008-01"") or Xray/TestRail key == ac_id","Architecture §28.4, §19.1 `ScanAbortError`"
AC-DG-01-008-02,US-DG-01-008,EPIC-DG-01,platform-runtime,"When `max_llm_usd` exceeded mid-graph, scan aborts and partial artefacts retained per retention policy (Architecture §28.4, §8.4).","Verify the behaviour described in AC-DG-01-008-02: When `max_llm_usd` exceeded mid-graph, scan aborts and partial artefacts retained per retention policy (Architecture §28.4, §8.4).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-008-02,TC-DG-01-008-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-008-02"") or Xray/TestRail key == ac_id","Architecture §28.4, §8.4"
AC-DG-01-008-03,US-DG-01-008,EPIC-DG-01,platform-runtime,Budget checks occur at defined cooperative points between LangGraph nodes (Architecture §30.4).,Verify the behaviour described in AC-DG-01-008-03: Budget checks occur at defined cooperative points between LangGraph nodes (Architecture §30.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-008-03,TC-DG-01-008-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-008-03"") or Xray/TestRail key == ac_id",Architecture §30.4
AC-DG-01-009-01,US-DG-01-009,EPIC-DG-01,platform-runtime,Optional streaming mode maps LangGraph events to `percent_complete` / sub-stage hints without breaking REST status contract (Architecture §31.2).,Verify the behaviour described in AC-DG-01-009-01: Optional streaming mode maps LangGraph events to `percent_complete` / sub-stage hints without breaking REST status contract (Architecture §31.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption. | Feature disabled path: behaviour is explicit no-op or skip with user-visible reason.,TC-DG-01-009-01,TC-DG-01-009-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-009-01"") or Xray/TestRail key == ac_id",Architecture §31.2
AC-DG-01-009-02,US-DG-01-009,EPIC-DG-01,platform-runtime,Streaming disconnect does not cancel scan; worker continues (resilience).,Verify the behaviour described in AC-DG-01-009-02: Streaming disconnect does not cancel scan; worker continues (resilience).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-009-02,TC-DG-01-009-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-009-02"") or Xray/TestRail key == ac_id",Architecture_Design.md (see product spec)
AC-DG-01-009-03,US-DG-01-009,EPIC-DG-01,platform-runtime,Event stream excludes `SECRET`-classified state (Architecture §20.3).,Verify the behaviour described in AC-DG-01-009-03: Event stream excludes `SECRET`-classified state (Architecture §20.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph path under test (single happy path unless AC implies negative). | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces as applicable.",All assertions pass; no secret material in logs; stable machine-readable error_code on failures; state remains tenant-scoped for EPIC-DG-01.,Concurrent requests: no cross-tenant leakage and no duplicate side effects when idempotency applies. | Timeout / partial failure: system reaches documented terminal or degraded state without data corruption.,TC-DG-01-009-03,TC-DG-01-009-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-009-03"") or Xray/TestRail key == ac_id",Architecture §20.3
